"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-93.75","48.52","DEVLIN","6022010","1989-03-19","1989","03","19","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-20","1989","03","20","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-21","1989","03","21","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-22","1989","03","22","","","","","","","","","","","","0.0","","4.0","","4.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-23","1989","03","23","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-24","1989","03","24","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-25","1989","03","25","","","","","","","","","","","","2.4","","0.0","","2.4","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-26","1989","03","26","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-27","1989","03","27","","","","","","","","","","","","0.0","","0.0","T","0.0","T","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-28","1989","03","28","","","","","","","","","","","","0.0","","0.0","T","0.0","T","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-29","1989","03","29","","","","","","","","","","","","0.0","","13.0","","13.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-30","1989","03","30","","","","","","","","","","","","0.0","","0.0","","0.0","","28","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-31","1989","03","31","","","","","","","","","","","","0.0","","0.0","","0.0","","28","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-01","1989","04","01","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-02","1989","04","02","","","","","","","","","","","","0.0","","3.0","","3.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-03","1989","04","03","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-04","1989","04","04","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-05","1989","04","05","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-06","1989","04","06","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-07","1989","04","07","","","","","","","","","","","","0.0","","7.0","","7.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-08","1989","04","08","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-09","1989","04","09","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-10","1989","04","10","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-11","1989","04","11","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-12","1989","04","12","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-13","1989","04","13","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-14","1989","04","14","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-15","1989","04","15","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-16","1989","04","16","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-17","1989","04","17","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-18","1989","04","18","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-19","1989","04","19","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-20","1989","04","20","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-21","1989","04","21","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-22","1989","04","22","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-23","1989","04","23","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-24","1989","04","24","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-25","1989","04","25","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-26","1989","04","26","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-27","1989","04","27","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-28","1989","04","28","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-29","1989","04","29","","","","","","","","","","","","0.0","","3.0","","3.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-04-30","1989","04","30","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-01","1989","05","01","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-02","1989","05","02","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-03","1989","05","03","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-04","1989","05","04","","","","","","","","","","","","6.6","","0.0","T","6.6","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-05","1989","05","05","","","","","","","","","","","","0.0","","3.0","","3.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-06","1989","05","06","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-07","1989","05","07","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-08","1989","05","08","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-09","1989","05","09","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-10","1989","05","10","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-11","1989","05","11","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-12","1989","05","12","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-13","1989","05","13","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-14","1989","05","14","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-15","1989","05","15","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-16","1989","05","16","","","","","","","","","","","","1.1","","0.0","","1.1","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-17","1989","05","17","","","","","","","","","","","","11.2","","0.0","","11.2","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-18","1989","05","18","","","","","","","","","","","","2.0","","0.0","","2.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-19","1989","05","19","","","","","","","","","","","","5.2","","0.0","","5.2","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-20","1989","05","20","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-21","1989","05","21","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-22","1989","05","22","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-23","1989","05","23","","","","","","","","","","","","4.3","","0.0","","4.3","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-24","1989","05","24","","","","","","","","","","","","18.0","","0.0","","18.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-25","1989","05","25","","","","","","","","","","","","2.0","","0.0","","2.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-26","1989","05","26","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-05-27","1989","05","27","","","","","","","","","","","","0.0","T","0.0","","0.0","T","","","","","",""
